instant,season_x,year_x,month_x,holiday_x,weekday_x,workingday_x,weather_x,casual_x,registered_x,count_x,status,season_y,year_y,month_y,hour,holiday_y,weekday_y,workingday_y,weather_y,casual_y,registered_y,count_y,count_group
1,Spring,2011,Jan,0,Saturday,0,Misty,331,654,985,Non Active,Spring,2011,Jan,0,0,Saturday,0,Clear,3,13,16,registered
2,Spring,2011,Jan,0,Sunday,0,Misty,131,670,801,Non Active,Spring,2011,Jan,1,0,Saturday,0,Clear,8,32,40,registered
3,Spring,2011,Jan,0,Monday,1,Clear,120,1229,1349,Non Active,Spring,2011,Jan,2,0,Saturday,0,Clear,5,27,32,registered
4,Spring,2011,Jan,0,Tuesday,1,Clear,108,1454,1562,Non Active,Spring,2011,Jan,3,0,Saturday,0,Clear,3,10,13,registered
5,Spring,2011,Jan,0,Wednesday,1,Clear,82,1518,1600,Non Active,Spring,2011,Jan,4,0,Saturday,0,Clear,0,1,1,registered
6,Spring,2011,Jan,0,Thursday,1,Clear,88,1518,1606,Non Active,Spring,2011,Jan,5,0,Saturday,0,Misty,0,1,1,registered
7,Spring,2011,Jan,0,Friday,1,Misty,148,1362,1510,Non Active,Spring,2011,Jan,6,0,Saturday,0,Clear,2,0,2,registered
8,Spring,2011,Jan,0,Saturday,0,Misty,68,891,959,Non Active,Spring,2011,Jan,7,0,Saturday,0,Clear,1,2,3,registered
9,Spring,2011,Jan,0,Sunday,0,Clear,54,768,822,Non Active,Spring,2011,Jan,8,0,Saturday,0,Clear,1,7,8,registered
10,Spring,2011,Jan,0,Monday,1,Clear,41,1280,1321,Non Active,Spring,2011,Jan,9,0,Saturday,0,Clear,8,6,14,registered
11,Spring,2011,Jan,0,Tuesday,1,Misty,43,1220,1263,Non Active,Spring,2011,Jan,10,0,Saturday,0,Clear,12,24,36,registered
12,Spring,2011,Jan,0,Wednesday,1,Clear,25,1137,1162,Non Active,Spring,2011,Jan,11,0,Saturday,0,Clear,26,30,56,registered
13,Spring,2011,Jan,0,Thursday,1,Clear,38,1368,1406,Non Active,Spring,2011,Jan,12,0,Saturday,0,Clear,29,55,84,registered
14,Spring,2011,Jan,0,Friday,1,Clear,54,1367,1421,Non Active,Spring,2011,Jan,13,0,Saturday,0,Misty,47,47,94,registered
15,Spring,2011,Jan,0,Saturday,0,Misty,222,1026,1248,Non Active,Spring,2011,Jan,14,0,Saturday,0,Misty,35,71,106,registered
16,Spring,2011,Jan,0,Sunday,0,Clear,251,953,1204,Non Active,Spring,2011,Jan,15,0,Saturday,0,Misty,40,70,110,registered
17,Spring,2011,Jan,1,Monday,0,Misty,117,883,1000,Non Active,Spring,2011,Jan,16,0,Saturday,0,Misty,41,52,93,registered
18,Spring,2011,Jan,0,Tuesday,1,Misty,9,674,683,Non Active,Spring,2011,Jan,17,0,Saturday,0,Misty,15,52,67,registered
19,Spring,2011,Jan,0,Wednesday,1,Misty,78,1572,1650,Non Active,Spring,2011,Jan,18,0,Saturday,0,Light_RainSnow,9,26,35,registered
20,Spring,2011,Jan,0,Thursday,1,Misty,83,1844,1927,Active,Spring,2011,Jan,19,0,Saturday,0,Light_RainSnow,6,31,37,registered
21,Spring,2011,Jan,0,Friday,1,Clear,75,1468,1543,Non Active,Spring,2011,Jan,20,0,Saturday,0,Misty,11,25,36,registered
22,Spring,2011,Jan,0,Saturday,0,Clear,93,888,981,Non Active,Spring,2011,Jan,21,0,Saturday,0,Misty,3,31,34,registered
23,Spring,2011,Jan,0,Sunday,0,Clear,150,836,986,Non Active,Spring,2011,Jan,22,0,Saturday,0,Misty,11,17,28,registered
24,Spring,2011,Jan,0,Monday,1,Clear,86,1330,1416,Non Active,Spring,2011,Jan,23,0,Saturday,0,Misty,15,24,39,registered
25,Spring,2011,Jan,0,Tuesday,1,Misty,186,1799,1985,Non Active,Spring,2011,Jan,0,0,Sunday,0,Misty,4,13,17,registered
26,Spring,2011,Jan,0,Wednesday,1,Light_RainSnow,34,472,506,Non Active,Spring,2011,Jan,1,0,Sunday,0,Misty,1,16,17,registered
27,Spring,2011,Jan,0,Thursday,1,Clear,15,416,431,Non Active,Spring,2011,Jan,2,0,Sunday,0,Misty,1,8,9,registered
28,Spring,2011,Jan,0,Friday,1,Misty,38,1129,1167,Non Active,Spring,2011,Jan,3,0,Sunday,0,Misty,2,4,6,registered
29,Spring,2011,Jan,0,Saturday,0,Clear,123,975,1098,Non Active,Spring,2011,Jan,4,0,Sunday,0,Misty,2,1,3,registered
30,Spring,2011,Jan,0,Sunday,0,Clear,140,956,1096,Non Active,Spring,2011,Jan,6,0,Sunday,0,Light_RainSnow,0,2,2,registered
31,Spring,2011,Jan,0,Monday,1,Misty,42,1459,1501,Non Active,Spring,2011,Jan,7,0,Sunday,0,Misty,0,1,1,registered
32,Spring,2011,Feb,0,Tuesday,1,Misty,47,1313,1360,Non Active,Spring,2011,Jan,8,0,Sunday,0,Light_RainSnow,0,8,8,registered
33,Spring,2011,Feb,0,Wednesday,1,Misty,72,1454,1526,Non Active,Spring,2011,Jan,9,0,Sunday,0,Misty,1,19,20,registered
34,Spring,2011,Feb,0,Thursday,1,Clear,61,1489,1550,Non Active,Spring,2011,Jan,10,0,Sunday,0,Misty,7,46,53,registered
35,Spring,2011,Feb,0,Friday,1,Misty,88,1620,1708,Non Active,Spring,2011,Jan,11,0,Sunday,0,Misty,16,54,70,registered
36,Spring,2011,Feb,0,Saturday,0,Misty,100,905,1005,Non Active,Spring,2011,Jan,12,0,Sunday,0,Misty,20,73,93,registered
37,Spring,2011,Feb,0,Sunday,0,Clear,354,1269,1623,Non Active,Spring,2011,Jan,13,0,Sunday,0,Misty,11,64,75,registered
